method,model,rho,dense,corpus,ppl,ppl_tokens,realised_linear_ratio,realised_total_ratio,achieved_target_ratio,compress_seconds,source
asvd,facebook/opt-125m,0.33,False,c4,2854.78191684843,524032,0.5388899940322259,0.5451334379905809,0.3292824074074074,473.25426727801096,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/ASVD/local/runs/asvd/opt-125m_rho33.json
asvd,facebook/opt-125m,0.33,False,ptb,4596.913369839238,96209,0.5388899940322259,0.5451334379905809,0.3292824074074074,473.25426727801096,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/ASVD/local/runs/asvd/opt-125m_rho33.json
asvd,facebook/opt-125m,0.33,False,wikitext2,3202.2310301485622,286580,0.5388899940322259,0.5451334379905809,0.3292824074074074,473.25426727801096,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/ASVD/local/runs/asvd/opt-125m_rho33.json
asvd,facebook/opt-125m,0.6,False,c4,309.3644492512718,524032,0.7230206882832704,0.7267709968602826,0.5971137152777778,1.143278977018781,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/ASVD/local/runs/asvd/opt-125m_rho60.json
asvd,facebook/opt-125m,0.6,False,ptb,641.3092113896336,96209,0.7230206882832704,0.7267709968602826,0.5971137152777778,1.143278977018781,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/ASVD/local/runs/asvd/opt-125m_rho60.json
asvd,facebook/opt-125m,0.6,False,wikitext2,351.2547064808876,286580,0.7230206882832704,0.7267709968602826,0.5971137152777778,1.143278977018781,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/ASVD/local/runs/asvd/opt-125m_rho60.json
